article_id,manual_label_id,label,classification_instance_group_id,article_content_group_id,status,reason
49,1423,neutral,class_740e155f758e89e2,article_0e17daca5f3e175f,eligible_train_validation_test,
50,1029,neutral,class_0e3fd56cc7fd200f,article_1a6562590ef19d10,eligible_train_validation_test,
51,426,positive,class_ce1ca12914054d24,article_031b4af5197ec30a,eligible_train_validation_test,
52,723,neutral,class_c7b00c0844032003,article_41cfc0d1f2d127b0,eligible_train_validation_test,
53,1810,neutral,class_aac5494da9df61e3,article_2858dcd1057d3eae,eligible_train_validation_test,
54,1845,neutral,class_d5adb5872a9ff1f7,article_2fca346db6561871,eligible_train_validation_test,
55,1356,neutral,class_fcaeaeeadaa2637e,article_02d20bbd7e394ad5,eligible_train_validation_test,
56,1332,neutral,class_575d2340d5c91a2c,article_7688b6ef52555962,eligible_train_validation_test,
57,1642,neutral,class_58beea5b5497ff8d,article_c837649cce43f272,eligible_train_validation_test,
58,996,neutral,class_96b5118d4f60de98,article_6208ef0f7750c111,eligible_train_validation_test,
59,425,neutral,class_3994a53c8fb8feab,article_3e1e967e9b793e90,eligible_train_validation_test,
60,1314,neutral,class_af815bc4095c07c1,article_39fa9ec190eee7b6,eligible_train_validation_test,
61,1491,neutral,class_737ce9a40bb48ecc,article_d029fa3a95e174a1,eligible_train_validation_test,
62,1881,neutral,class_7cbfd033de74e283,article_81b8a03f97e8787c,eligible_train_validation_test,
63,1319,neutral,class_fe11cb6029c9a058,article_da4ea2a5506f2693,eligible_train_validation_test,
64,1296,neutral,class_a567f98efb00cea0,article_a68b412c4282555f,eligible_train_validation_test,
65,1422,neutral,class_ef5c425aa40c19e1,article_108c995b953c8a35,eligible_train_validation_test,
66,1459,neutral,class_769fbd0802df1eb5,article_3ada92f28b4ceda3,eligible_train_validation_test,
67,1490,neutral,class_38bb0a689449d23b,article_49d180ecf5613281,eligible_train_validation_test,
68,1164,neutral,class_7b0207a48a392579,article_a21855da08cb102d,eligible_train_validation_test,
69,1463,neutral,class_03837f2887576a8c,article_c75cb66ae28d8ebc,eligible_train_validation_test,
70,1213,neutral,class_6899d62e62a9b48b,article_ff5a1ae012afa5d4,eligible_train_validation_test,
71,738,neutral,class_82ce636c5e2e5907,article_7f2253d7e228b22a,eligible_train_validation_test,
72,1795,neutral,class_dfb8b80f1f80e13f,article_8722616204217edd,eligible_train_validation_test,
73,1111,positive,class_613fc09f8833f7c4,article_96061e92f58e4bdc,eligible_train_validation_test,
74,1328,neutral,class_a8ddd652cd75bb01,article_eb624dbe56eb6620,eligible_train_validation_test,
75,1574,neutral,class_8b996a9310a0beb4,article_f369cb89fc627e66,eligible_train_validation_test,
76,1225,neutral,class_defb2b38fbd32060,article_f74efabef12ea619,eligible_train_validation_test,
77,1055,neutral,class_97ffe2e9cc7f6c91,article_a88a7902cb4ef697,eligible_train_validation_test,
78,1615,neutral,class_58d2de13f1e7a8d2,article_349c41201b62db85,eligible_train_validation_test,
79,1317,neutral,class_1418d7be09484f03,article_98a3ab7c340e8a03,eligible_train_validation_test,
80,1512,neutral,class_dbe671ffb96e70be,article_48449a14a4ff7d79,eligible_train_validation_test,
81,535,neutral,class_0fdedf7a034455f1,article_5316ca1c5ddca8e6,eligible_train_validation_test,
82,1783,neutral,class_7bf7da13e59c1a0c,article_a46e37632fa6ca51,eligible_train_validation_test,
83,1653,neutral,class_e28e810f457de26a,article_bbb965ab0c80d653,eligible_train_validation_test,
84,716,neutral,class_d576ca3e7f6d3111,article_44c8031cb036a735,eligible_train_validation_test,
85,1289,neutral,class_21c9a1bc89f9fb2a,article_b4944c6ff08dc6f4,eligible_train_validation_test,
86,506,neutral,class_328dc517243b63a0,article_434c9b5ae514646b,eligible_train_validation_test,
87,1063,positive,class_8247f729663951df,article_bdd2d3af3a5a1213,eligible_train_validation_test,
88,1551,neutral,class_c02170d560852fd4,article_8b940be7fb78aaa6,eligible_train_validation_test,
89,138,negative,class_a06763119b9aa51a,article_cd70bea023f752a0,eligible_train_validation_test,
90,105,neutral,class_ccaaa8476a6e1518,article_69f59c273b6e669a,eligible_train_validation_test,
91,321,neutral,class_a147d7aa0dfd0804,article_1da51b8d8ff98f6a,eligible_train_validation_test,
92,1527,neutral,class_6825077e92f4fc17,article_8241649609f88ccd,eligible_train_validation_test,
93,772,positive,class_47119af501bc00b8,article_6e4001871c0cf27c,eligible_train_validation_test,
94,1559,neutral,class_8dcf32abdafc67c1,article_e3d6c4d4599e0088,eligible_train_validation_test,
95,1070,neutral,class_dfcbf9c5e04e0e71,article_ad48ff99415b2f00,eligible_train_validation_test,
96,1400,neutral,class_4498de4c4057c51f,article_7b1a278f5abe8e9d,eligible_train_validation_test,
97,160,neutral,class_b36c436d130f9147,article_d6d824abba4afde8,eligible_train_validation_test,
98,1731,neutral,class_b923f3b1f938f011,article_29db0c6782dbd500,eligible_train_validation_test,
99,649,neutral,class_e5e6cc8cffa9b43a,article_8c1f1046219ddd21,eligible_train_validation_test,
100,1012,neutral,class_62359a509e8fd588,article_ad57366865126e55,eligible_train_validation_test,
101,144,neutral,class_afed14ce1edca86b,article_16dc368a89b428b2,eligible_train_validation_test,
102,1046,neutral,class_53d0628c7bb88783,article_37834f2f25762f23,eligible_train_validation_test,
103,477,neutral,class_451afa60116c609a,article_87d9daa4a0354045,eligible_train_validation_test,
104,431,negative,class_8a86d9c0678ed377,article_5ef6fdf32513aa7c,eligible_train_validation_test,
105,1444,neutral,class_5d0add96d6d4a194,article_3719a8c62eb106f8,eligible_train_validation_test,
106,176,neutral,class_e5a990983a21e136,article_482d9673cfee5de3,eligible_train_validation_test,
107,184,neutral,class_451afa60116c609a,article_87d9daa4a0354045,eligible_train_validation_test,
108,692,neutral,class_909085877d36feaa,article_9537f32ec7599e1a,eligible_train_validation_test,
109,257,neutral,class_8511b166ff320619,article_0fd42b3f73c448b3,eligible_train_validation_test,
110,1636,neutral,class_587f3d22add3cb4b,article_9bdb2af6799204a2,eligible_train_validation_test,
111,1214,positive,class_bb0048a337d971d7,article_f6e0a1e2ac41945a,eligible_train_validation_test,
112,904,positive,class_7bb83fb9a2350cb5,article_b1556dea32e9d0cd,eligible_train_validation_test,
113,1858,positive,class_3f14b8ab8f89f471,article_6c658ee83fb7e812,eligible_train_validation_test,
114,743,neutral,class_d1d5458adecda892,article_c9630aa5216f8613,eligible_train_validation_test,
115,1419,neutral,class_678fdbfddbb2aa31,article_28dae7c8bde2f3ca,eligible_train_validation_test,
116,1517,neutral,class_265a4c5d1c709263,article_e5b861a6d8a966df,eligible_train_validation_test,
117,1640,neutral,class_a79eda1090d1d907,article_2ac878b0e2180616,eligible_train_validation_test,
118,1235,neutral,class_adac7089c484b2a0,article_85daaf6f7055cd57,eligible_train_validation_test,
119,1839,neutral,class_5fc0346dbc858350,article_04bf6d1bd5a36ffd,eligible_train_validation_test,
120,690,neutral,class_8b40c0e7f2b9d974,article_2abaca4911e68fa9,eligible_train_validation_test,
121,206,positive,class_6c106da63ee2f8f0,article_89aa1e580023722d,eligible_train_validation_test,
122,1672,neutral,class_3bc1ab8927a72b25,article_1be00341082e25c4,eligible_train_validation_test,
123,285,positive,class_b7e7e1f0a734f650,article_a665a45920422f9d,eligible_train_validation_test,
124,449,positive,class_f675383faa81d61d,article_6affdae3b3c1aa6a,eligible_train_validation_test,
125,64,negative,class_757b655a55f00278,article_0f8ef3377b30fc47,eligible_train_validation_test,
126,1421,positive,class_ad715218859f578f,article_65a699905c026193,eligible_train_validation_test,
127,1069,neutral,class_c9d6e538cf93d036,article_922c7954216ccfe7,eligible_train_validation_test,
128,585,positive,class_0b28441c72c752cb,article_2747b7c718564ba5,eligible_train_validation_test,
129,815,positive,class_3d438643da2834fd,article_6566230e3a3ce377,eligible_train_validation_test,
130,553,neutral,class_0f436e11e07720a5,article_38d66d9692ac5900,eligible_train_validation_test,
131,1879,positive,class_f1f97cf4a79f2fa0,article_eeca91fd439b6d5e,eligible_train_validation_test,
132,1742,neutral,class_f0e93a047e61589a,article_dbb1ded63bc70732,eligible_train_validation_test,
133,140,positive,class_e149618614d52ec7,article_d2f483672c0239f6,eligible_train_validation_test,
134,198,negative,class_b4e5998f469792cf,article_5d389f5e2e34c6b0,eligible_train_validation_test,
135,417,positive,class_53ec1ff22b197ad8,article_13671077b66a2987,eligible_train_validation_test,
136,96,positive,class_76d02ef033be7532,article_36ebe205bcdfc499,eligible_train_validation_test,
137,579,neutral,class_0ca003c7ede45e18,article_d80eae6e96d148b3,eligible_train_validation_test,
138,2,positive,class_dabac8ef9bdb417e,article_d6a4031733610bb0,eligible_train_validation_test,
139,349,positive,class_d26aa718ae3b0b7f,article_8d27ba37c5d81010,eligible_train_validation_test,
140,1863,neutral,class_a7f0233401fcc961,article_dbae772db29058a8,eligible_train_validation_test,
141,1232,neutral,class_8aa24fb1cc7cfb94,article_2c7d5490e6050836,eligible_train_validation_test,
142,656,neutral,class_b8030de2f980065e,article_d4ee9f58e5860574,eligible_train_validation_test,
143,448,positive,class_8d7e2acbcbff097d,article_d6f0c71ef0c88e45,eligible_train_validation_test,
144,429,positive,class_0fd8c1a72babf30a,article_5ec1a0c99d428601,eligible_train_validation_test,
145,813,positive,class_2f1e73e59c6aa7fb,article_be47addbcb8f6056,eligible_train_validation_test,
146,709,positive,class_c4cc9eeb8aebd2ed,article_0a5b046d07f6f971,eligible_train_validation_test,
147,699,neutral,class_267dad2501803dc4,article_1d28c120568c10e1,eligible_train_validation_test,
148,22,negative,class_8ab5d90a2876fd6b,article_ec2e990b934dde55,eligible_train_validation_test,
149,78,positive,class_86a47af17fcfded9,article_05ada863a4cf9660,eligible_train_validation_test,
150,452,neutral,class_32722cc43d483c28,article_9ae2bdd7beedc2e7,eligible_train_validation_test,
151,752,positive,class_678ac0bd86d22246,article_8e612bd1f5d132a3,eligible_train_validation_test,
152,1374,neutral,class_e077a05789e343f6,article_043066daf2109523,eligible_train_validation_test,
153,1756,neutral,class_9b65f378e7d7aeb9,article_620c9c332101a5ba,eligible_train_validation_test,
154,1582,neutral,class_0e0088ab36e55def,article_1d0ebea552eb43d0,eligible_train_validation_test,
155,1816,neutral,class_b29079d5050737f0,article_210e3b160c355818,eligible_train_validation_test,
156,1791,neutral,class_b1eceb1e91b5ea48,article_0fecf9247f3ddc84,eligible_train_validation_test,
157,1158,neutral,class_38848b14b9ccca3f,article_c75de23d89df36ba,eligible_train_validation_test,
158,659,neutral,class_d1740154e63dc9cc,article_7ed8f0f3b707956d,eligible_train_validation_test,
159,556,positive,class_5d081453f7353b13,article_ff2ccb6ba423d356,eligible_train_validation_test,
160,1805,neutral,class_34f2a271390e1716,article_a512db2741cd2069,eligible_train_validation_test,
161,548,positive,class_0160585df06e5c7f,article_bb668ca955632160,eligible_train_validation_test,
162,861,positive,class_abbf339270b99c7b,article_79d6eaa2676189eb,eligible_train_validation_test,
163,1528,neutral,class_22e7c327fdda0e3d,article_3d3286f7cd19074f,eligible_train_validation_test,
164,854,positive,class_99837b6e7463b743,article_3f9807cb9ae9fb6c,eligible_train_validation_test,
165,1602,neutral,class_9b7cdc5de1398078,article_bc52dd634277c4a3,eligible_train_validation_test,
166,627,neutral,class_1e71f2294ddfe851,article_e0f05da93a0f5a86,eligible_train_validation_test,
167,518,positive,class_a65ea93b0e5579f9,article_73d3f1ba062585bc,eligible_train_validation_test,
168,756,positive,class_6a3150cb6822ff9d,article_80c3cd40fa35f908,eligible_train_validation_test,
169,674,neutral,class_171a04fdc4cb3a3e,article_f57e5cb1f4532c00,eligible_train_validation_test,
170,104,negative,class_7c22e5eb597b6239,article_734d0759cdb4e0d0,eligible_train_validation_test,
171,1252,neutral,class_3a31db7e474408ee,article_284de502c9847342,eligible_train_validation_test,
172,1398,neutral,class_d0e582459370233e,article_68519a9eca55c68c,eligible_train_validation_test,
173,1295,neutral,class_a20f09a001b00ebc,article_4a8596a7790b5ca9,eligible_train_validation_test,
174,114,positive,class_d7346d1c0699d698,article_41e521adf8ae7a0f,eligible_train_validation_test,
175,1754,neutral,class_633f4cbe1bc8320d,article_dac53c17c250fd4d,eligible_train_validation_test,
176,1558,neutral,class_56d27fdfd753278d,article_cba28b89eb859497,eligible_train_validation_test,
177,1077,neutral,class_ada01f1afbd14f76,article_8cd2510271575d84,eligible_train_validation_test,
178,1210,neutral,class_ecfa63132194e0bd,article_01d54579da446ae1,eligible_train_validation_test,
179,1276,neutral,class_50f3810d263db085,article_3068430da9e4b7a6,eligible_train_validation_test,
180,741,positive,class_8f4be199ef63f3a2,article_7b69759630f869f2,eligible_train_validation_test,
181,978,positive,class_61337fa3778467dd,article_580811fa95269f3e,eligible_train_validation_test,
182,791,positive,class_02273a581d18f2d5,article_bfa7634640c53da7,eligible_train_validation_test,
183,1032,neutral,class_0c2cf5c5b5e97d1c,article_b8aed072d29403ec,eligible_train_validation_test,
184,775,neutral,class_e95efc75a50dc5dc,article_52f11620e397f867,eligible_train_validation_test,
185,113,positive,class_73a43a425c667ccd,article_61a229bae1e90331,eligible_train_validation_test,
186,375,positive,class_b249230357b154d3,article_2811745d7b8d8874,eligible_train_validation_test,
187,1649,neutral,class_63348346c943974e,article_38b2d03f3256502b,eligible_train_validation_test,
188,54,negative,class_8955c8c4d216d793,article_d6061bbee6cf13bd,eligible_train_validation_test,
189,163,neutral,class_74a74337a0228e7f,article_7045d16ae7f043ec,eligible_train_validation_test,
190,862,neutral,class_d818b0496c04e6de,article_2397346b45823e07,eligible_train_validation_test,
191,117,neutral,class_db0b23067d0dc6a7,article_70260742c2952154,eligible_train_validation_test,
192,1355,neutral,class_a19ca5e54c522054,article_eb3be230bbd2844b,eligible_train_validation_test,
193,224,positive,class_32838438856edede,article_684fe39f03758de6,eligible_train_validation_test,
194,202,positive,class_7d5c42ffeeab017a,article_7559ca4a957c8c82,eligible_train_validation_test,
195,704,neutral,class_9dafcb4cacb425cc,article_1dfacb2ea5a03e0a,eligible_train_validation_test,
196,751,neutral,class_fb50742252716db8,article_b4bbe448fde336bb,eligible_train_validation_test,
197,684,neutral,class_c963c1cca5315ae1,article_8bcbb4c131df56f7,eligible_train_validation_test,
198,481,neutral,class_62098c7abb00240a,article_a4e00d7e6aa82111,eligible_train_validation_test,
199,1350,neutral,class_7b760ade6d5825d2,article_5a39cadd1b007093,eligible_train_validation_test,
200,1223,neutral,class_7b1f03c146ec57ae,article_27badc983df1780b,eligible_train_validation_test,
201,1163,neutral,class_e5eb1384f5f75789,article_43974ed74066b207,eligible_train_validation_test,
202,620,negative,class_1872a82feea970a6,article_c17edaae86e4016a,eligible_train_validation_test,
203,363,positive,class_38e6a9fb63aaf811,article_4621c1d55fa4e86c,eligible_train_validation_test,
204,1540,neutral,class_dbad8fb3e9799c8b,article_fc56dbc6d4652b31,eligible_train_validation_test,
205,1734,neutral,class_16b2dcbe10b656f3,article_f8809aff4d69bece,eligible_train_validation_test,
206,1550,neutral,class_f02154362fdb7f40,article_5cf4e26bd3d87da5,eligible_train_validation_test,
207,565,neutral,class_8975255f0ef148e8,article_968076be2e38cf89,eligible_train_validation_test,
208,263,neutral,class_b77b13e4416d59c3,article_8df66f64b5742439,eligible_train_validation_test,
209,543,neutral,class_8f353669bbf6793d,article_83f814f7a92e365c,eligible_train_validation_test,
210,995,neutral,class_80980320c843dc10,article_d29d53701d3c859e,eligible_train_validation_test,
211,1,positive,class_113b7c68d6b6131f,article_093434a3ee9e0a01,eligible_train_validation_test,
212,619,neutral,class_cbdca350197d0143,article_fa2b7af0a811b9ac,eligible_train_validation_test,
213,194,positive,class_3b0b542c46762126,article_d48ff4b2f68a10fd,eligible_train_validation_test,
214,84,neutral,class_030ca8b854937065,article_802b906a18591ead,eligible_train_validation_test,
215,384,neutral,class_528f7390970f39b3,article_d86580a57f7bf542,eligible_train_validation_test,
216,592,positive,class_4526a91649ea8b0a,article_ad9ce00dd4bc75eb,unresolved_true_conflict,true_label_conflict
217,236,neutral,class_5daa4f1a265789b0,article_16badfc6202cb3f8,eligible_train_validation_test,
218,1465,neutral,class_043b2b2b3fa22264,article_5966abd0cbfc86f9,eligible_train_validation_test,
219,695,neutral,class_624217c4ac95156d,article_314f04b30f62e005,eligible_train_validation_test,
220,1060,neutral,class_6419f3e5c41e52ca,article_36790ecd55c2030d,eligible_train_validation_test,
221,554,neutral,class_71aa078498a90054,article_67e9c3acebb154a2,eligible_train_validation_test,
222,1229,neutral,class_42c859810966064d,article_9b871512327c09ce,eligible_train_validation_test,
223,650,neutral,class_e2266e7b4c823016,article_56f4da26ed956730,eligible_train_validation_test,
224,82,neutral,class_9f269823eda9e07d,article_84a5092e4a5b6fe9,eligible_train_validation_test,
225,1565,neutral,class_471a5b7386d889c8,article_0e6523810856a138,eligible_train_validation_test,
226,1274,negative,class_2107efa06d90e3fc,article_8f1f64db81c40ea1,eligible_train_validation_test,
227,622,neutral,class_6ca7dbd71bc68e87,article_dfe62e836a0a6f26,eligible_train_validation_test,
228,1027,neutral,class_54764e8ded2cd6bc,article_9d693eeee1d1899c,eligible_train_validation_test,
229,1262,negative,class_5f064859a294d01c,article_08490295488a1189,eligible_train_validation_test,
230,607,negative,class_1162b5f4718061ec,article_a0eaec5a55dc2f5b,eligible_train_validation_test,
231,1010,neutral,class_8c88f18c6a0d0747,article_138d9e809e386a7b,eligible_train_validation_test,
232,76,positive,class_b976b09b7603f438,article_835d5e8314340ab8,eligible_train_validation_test,
233,1680,neutral,class_67e3941d55d5aab4,article_c0509a487a18b003,eligible_train_validation_test,
234,1308,neutral,class_9fb5be8134ae4c2a,article_114bd151f8fb0c58,eligible_train_validation_test,
235,789,neutral,class_d63ae1d234efda29,article_0a2d643bfd24a028,eligible_train_validation_test,
236,294,neutral,class_2d3c1306c33428f2,article_9a049b03f6fc40bf,eligible_train_validation_test,
237,1498,neutral,class_d2140ad0cfdc27ea,article_f0bc318fb8965cad,eligible_train_validation_test,
238,344,negative,class_417bcd04eba2d86d,article_8ae4c23b80d1e7c8,eligible_train_validation_test,
239,1146,neutral,class_11c084e1997afc63,article_79bf08685d3138f9,eligible_train_validation_test,
240,243,neutral,class_c01c936ccd65e5d7,article_6af1f692e9496c6d,eligible_train_validation_test,
241,1732,neutral,class_5fc0346dbc858350,article_04bf6d1bd5a36ffd,eligible_train_validation_test,
242,1007,neutral,class_596d4839d5ec66b5,article_14063697603e22d6,eligible_train_validation_test,
243,421,neutral,class_72a8e76d4a7b7375,article_72440a20f54075ac,eligible_train_validation_test,
244,287,positive,class_6e0dcb386d073f4f,article_82c01ce15b431d42,eligible_train_validation_test,
245,1245,positive,class_a19345f5c5920d6c,article_011af72a910ac4ac,eligible_train_validation_test,
246,1724,neutral,class_25e5787e02e4b034,article_37c20f19f3272b5c,eligible_train_validation_test,
247,784,neutral,class_dc3c4a2d6f3b3545,article_396f804443825586,eligible_train_validation_test,
248,1827,neutral,class_6c6eb7bcbc39acf2,article_766cb53c753baeda,eligible_train_validation_test,
249,1041,neutral,class_80d9ec47f24194dc,article_9f484139a27415ae,eligible_train_validation_test,
250,277,neutral,class_319b4cd9f073ebc6,article_1e472b39b105d349,eligible_train_validation_test,
251,867,positive,class_aea056c612286d91,article_c75d3f1f5bcd6914,eligible_train_validation_test,
252,1026,positive,class_b6694684a27cf2f7,article_d6e5a20b30f87216,eligible_train_validation_test,
253,544,neutral,class_7c2317b3adb7bc39,article_e7866fdc6672f827,eligible_train_validation_test,
254,83,neutral,class_fb2945aa7d657a5c,article_9512d95d00d61bde,eligible_train_validation_test,
255,1028,neutral,class_8ba0fb9427a1428b,article_9556b82499cc0aaf,eligible_train_validation_test,
256,1137,neutral,class_6d8a9d7a30870a52,article_51e8ea280b44e169,eligible_train_validation_test,
257,1230,neutral,class_244c2d78d8ee6793,article_4c970004b0678d43,eligible_train_validation_test,
258,480,neutral,class_437cfef2aef5726c,article_a30f4ef42176d28f,eligible_train_validation_test,
259,395,positive,class_d5736cc23003cdf4,article_7c252ab334fb8fd8,eligible_train_validation_test,
260,159,neutral,class_2da921af15708516,article_39bb88f40d3aa2b2,eligible_train_validation_test,
261,351,neutral,class_fdcf6ad9951e7093,article_e888a676e1926d0c,eligible_train_validation_test,
262,987,neutral,class_8d96ad906d428d8a,article_9e6a72557ada15d0,eligible_train_validation_test,
263,1493,neutral,class_06c5a9942aa601b2,article_4be84111a613654b,eligible_train_validation_test,
264,1552,neutral,class_3857ff3bac39de73,article_bba58959c32abe68,eligible_train_validation_test,
265,1375,neutral,class_74e2fdd587f467f5,article_768b84ef05f655d5,eligible_train_validation_test,
266,1327,neutral,class_38f58ae34d03f973,article_ea5b27556fbb134d,eligible_train_validation_test,
267,1363,neutral,class_38186c246d7c058b,article_8acc23987b8960d8,eligible_train_validation_test,
268,1759,neutral,class_99058cf87ba9e9f7,article_8b496bf96bbcc9e5,eligible_train_validation_test,
269,1427,neutral,class_c7f784c3e2f4bfae,article_f747870ae666c39b,eligible_train_validation_test,
270,564,neutral,class_f352948d40b77fd2,article_d8d1790737d57ac4,eligible_train_validation_test,
271,1298,neutral,class_0f5655ab4680412a,article_3635a91e3da857f7,eligible_train_validation_test,
272,1074,neutral,class_d5daec23b358de19,article_1c6c0bb2c7ecdc3b,eligible_train_validation_test,
273,666,neutral,class_7eca09d61454fa53,article_303c8bd55875dda2,eligible_train_validation_test,
274,1633,neutral,class_b8bf35aaefc8f8e5,article_718127812c05853f,eligible_train_validation_test,
275,1776,neutral,class_ffc21270d899ebb8,article_3a1dfb05d7257530,eligible_train_validation_test,
276,1191,neutral,class_be32cb106c6f8010,article_c76b405781134be1,eligible_train_validation_test,
277,1209,neutral,class_3c28d645dd1ea131,article_27d719c754aacd49,eligible_train_validation_test,
278,1277,neutral,class_b4be00775b1ffcfe,article_ee62de25ccc2b55d,eligible_train_validation_test,
279,1072,neutral,class_c901321bfaebf7c2,article_efd96aedf377e20a,eligible_train_validation_test,
280,1149,neutral,class_243b8e67b15297d4,article_7f0a22117f8fe017,eligible_train_validation_test,
281,1420,positive,class_9f21c21bd900178a,article_71a1c003a2b855d8,eligible_train_validation_test,
282,1140,neutral,class_c6e99b78bc8dd304,article_27e1615212f3c6ea,eligible_train_validation_test,
283,1058,neutral,class_59e81f7332debe49,article_e0850a775c17a870,eligible_train_validation_test,
284,1193,neutral,class_355907b7a04163ab,article_1e68ed4e3d58a510,eligible_train_validation_test,
285,1283,neutral,class_775848bad2672286,article_a0d177b4967a6d99,eligible_train_validation_test,
286,1082,neutral,class_f069c8e47c665cea,article_00328ce57bbc14b3,eligible_train_validation_test,
287,24,neutral,class_0e5f2b2a9b9f54bf,article_d7cdaa5ca0582076,eligible_train_validation_test,
288,500,neutral,class_1c1b83f6ee4ce4a9,article_23c657f2efda7731,eligible_train_validation_test,
289,109,neutral,class_69c75cff703cc53c,article_af180e4359fc6179,eligible_train_validation_test,
290,532,neutral,class_232ecd8b830ecbf0,article_09895de0407bcb03,eligible_train_validation_test,
291,208,neutral,class_94f7f1da77ca7e6e,article_33512007840ced1b,eligible_train_validation_test,
292,205,neutral,class_ae06041e50cba2ae,article_6db6eb4af1e18ab8,eligible_train_validation_test,
293,645,neutral,class_f33a6406fa103f8f,article_7cb676d57114874e,eligible_train_validation_test,
294,89,neutral,class_ee457eb377ad3bb8,article_2cfc8ccbd7c0b176,eligible_train_validation_test,
295,262,neutral,class_688cac50f32835b3,article_9cfd3c755be26b4e,eligible_train_validation_test,
296,373,neutral,class_cee6558cf3e23e0c,article_a0f8b2c4cb1ac82a,eligible_train_validation_test,
297,1486,neutral,class_96c0b03bfbd4483c,article_4c15f47afe7f817f,eligible_train_validation_test,
298,345,neutral,class_c1964f0dd4bb98e7,article_76ebdb6d45c61ca1,eligible_train_validation_test,
299,273,neutral,class_5510cb3d3c51e2dd,article_308831041ea4863c,eligible_train_validation_test,
300,1251,neutral,class_aa8d229924b24f65,article_983bd614bb5afece,eligible_train_validation_test,
301,1535,neutral,class_f1e60746133a9b4b,article_c3ea99f86b2f8a74,eligible_train_validation_test,
302,1844,neutral,class_aa71c0ae9aed0d1f,article_f32828acecb4282c,eligible_train_validation_test,
303,152,positive,class_dba36cb619774b35,article_8bd9c0d453533757,eligible_train_validation_test,
304,973,neutral,class_4870a4e985e3e726,article_d874e4e4a5df2117,eligible_train_validation_test,
