previous_group_id,article_ids,target_entity_count,label_set,text_fingerprint_count,URL_count,root_cause,corrected_group_ids,remains_conflict,recommended_action,evidence
grp_2310e1dd069a1da1,1010|1134|125|1528|1691|184|223|944,5,negative|neutral|positive,6,8,same_text_same_entity_true_conflict,class_3eb8e4539eb2b1f5|class_757b655a55f00278|class_98a7cd4e8db5247e|class_cb7811d2eddeed05|class_e2266e7b4c823016|class_e95efc75a50dc5dc,true,human_review,v2 DB grouping uses usable non-empty values and target entity
grp_260c4e0b75a62d3b,126|305|467|472|527|782|818,4,neutral|positive,6,7,same_text_different_entity_valid,class_368911d87e5b6399|class_922dd80e1ef8a204|class_ad715218859f578f|class_b8eab666fb209d17|class_bad84bd6b9b52554|class_d01de904f4448210,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_61e3f217b4695036,127|1468|1479|1599|953,5,neutral|positive,5,5,same_text_different_entity_valid,class_07eb98659ee2111f|class_2f5a3f14eb90fa0e|class_ab3cc7fffe447b09|class_c9d6e538cf93d036|class_e231b541d6d21140,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_2ddb181a5115fa8c,128|387|583|636,3,neutral|positive,4,4,same_text_different_entity_valid,class_0b28441c72c752cb|class_cb2021ee1f554294|class_dd194fa3c03a10d7|class_f4340e48b1f3fa9d,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_7dab2f002968019e,129|491|908,3,negative|neutral|positive,3,3,same_text_different_entity_valid,class_254b9782fd20d745|class_3d438643da2834fd|class_ddd4f781c9c68084,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_e12c693e3723e832,131|1592|375|972,4,neutral|positive,4,4,same_text_different_entity_valid,class_296311daa3db6313|class_b619298fd3342dcb|class_ecee34c8dfd7caa9|class_f1f97cf4a79f2fa0,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_24d33a0317580083,133|588,2,neutral|positive,2,2,same_text_different_entity_valid,class_32d082298891325a|class_e149618614d52ec7,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_e0c3ac2ed3363a95,1104|134|1425|629,3,negative|neutral,4,4,same_text_different_entity_valid,class_3a69f235cc453a4a|class_79ec9da350961ffb|class_b4e5998f469792cf|class_da523d812b8f8ed6,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_0b419604e27812df,1123|1144|135|1519|240|270|577,5,negative|neutral|positive,7,7,same_text_different_entity_valid,class_354622c8beedeaa8|class_53ec1ff22b197ad8|class_84089d7d32456572|class_9b6d7d31b5853ffd|class_c01c936ccd65e5d7|class_f352948d40b77fd2|class_f82d7d06001bab57,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_ce224739d9866682,1101|1207|136|1520|347,4,neutral|positive,5,5,same_text_different_entity_valid,class_76d02ef033be7532|class_9cc43cdeede12b86|class_bfce442b454e8e43|class_c378d2e551aa5d41|class_daa55c0ce621733d,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_defdf3f77fe6e7a7,1233|1274|1364|137|181|488,4,negative|neutral|positive,6,6,same_text_different_entity_valid,class_0ca003c7ede45e18|class_3e8425158cb8aba6|class_3fabd67fe44d54d6|class_61337fa3778467dd|class_85d46f99d6085e64|class_8f08231ef010e2ea,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_79994737510e6b1a,1051|1249|138|319|448|575|670,5,negative|neutral|positive,7,7,same_text_different_entity_valid,class_37889d6be923f601|class_4ce76f223cdb0540|class_684d7b9cf60ef8d5|class_b3d021edc5f7cf7e|class_baeb142a7a6a17b9|class_c6563cafdca11830|class_dabac8ef9bdb417e,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_33e70a85f1ad78d6,1181|139|555,3,neutral|positive,3,3,same_text_different_entity_valid,class_26559490acfd2d36|class_3cdf791bf4c25412|class_d26aa718ae3b0b7f,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_ec62a6332893ad6b,1368|140|1812|329|544|682,5,negative|neutral,6,6,same_text_different_entity_valid,class_00bf7068ddd7421f|class_02d12ec731b35333|class_4e765cea9f74b4db|class_68626f400aee2d9f|class_a7f0233401fcc961|class_e5ae4889a4bc7791,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_0c461cd142bf06ea,1267|1392|142|655,4,neutral|positive,4,4,same_text_different_entity_valid,class_4bb82383610b6635|class_8a1f3e102e9323d2|class_b8030de2f980065e|class_d944ee0008943c60,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_b2fdf1e881953e7a,1428|143|356|816,4,neutral|positive,4,4,same_text_different_entity_valid,class_37bc04a87cc7530b|class_84557ce37dd56028|class_8d7e2acbcbff097d|class_e40e1bf63b68acd1,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_14161b6f84a82050,144|1586|724,2,neutral|positive,3,3,same_text_different_entity_valid,class_0fd8c1a72babf30a|class_901ab7d339583da3|class_b42def72a46762f5,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_264946ae5ae8f4df,1206|145|1790|1861|1896|247,4,neutral|positive,6,6,same_text_different_entity_valid,class_2f1e73e59c6aa7fb|class_88acd80941561ee3|class_93fb4b81a9b2b223|class_96d740a91fb5bda8|class_d8324087f6bab5e9|class_dc3c4a2d6f3b3545,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_0343d92f07ea4b3d,1163|146|1463|508|520|882,6,negative|neutral|positive,6,6,same_text_different_entity_valid,class_0359a1f0ed1e0de2|class_513b64519667e251|class_9019a7518315031a|class_a35bf92748b896f4|class_a7f4f1feb4ef429b|class_c4cc9eeb8aebd2ed,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_1ddc30f0362d13fe,1366|147|1524|303|858,4,neutral|positive,5,5,same_text_different_entity_valid,class_267dad2501803dc4|class_5367fb2a40c19d42|class_8ae140a6e30590bf|class_dba36cb619774b35|class_de7da99bd2674b2e,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_6fc6e09fbfb2b2fc,148|377|693,3,negative|neutral|positive,3,3,same_text_different_entity_valid,class_8ab5d90a2876fd6b|class_ee40e46b974137df|class_f1b311c0c2147987,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_63cb3b0187cead15,1353|149|1642|1893|592|837|995,5,negative|positive,7,7,same_text_different_entity_valid,class_24e1c0ac38649bf5|class_2f48d45b0dc4cf67|class_347517a6bad5c57d|class_3ed1f89330c701ed|class_431265085644a2cb|class_86a47af17fcfded9|class_9f45be743290b243,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_0ccfee59cfe4b628,151|1580|230|254,4,negative|neutral|positive,4,4,same_text_different_entity_valid,class_1162b5f4718061ec|class_678ac0bd86d22246|class_8c2597b192a314a6|class_fb2945aa7d657a5c,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_5462ffcb1e1e5373,1556|158|562|585|808,4,neutral|positive,4,5,same_text_different_entity_valid,class_21a22e404dcb8bd0|class_d1740154e63dc9cc|class_d64b72e6eb051f22|class_da8f1c348cfd6aca,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_73fc81f74518b0d2,1503|159|1821|334|339|780|992,5,neutral|positive,7,7,same_text_different_entity_valid,class_5027a173850f397c|class_5d081453f7353b13|class_787527a026007b03|class_b0baf4552235fc1d|class_c35c2341943f5596|class_c3b53d54e62462b5|class_c56364a5f7b71a8e,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_e3340536cd4b8322,1594|160|1847|399|811,5,neutral|positive,5,5,same_text_different_entity_valid,class_34f2a271390e1716|class_6e39466c480d5213|class_90d6910c168940dd|class_927a1763804899db|class_d87ffd22aae3b269,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_0268307daec45ea1,161|1703|299|504|654,3,negative|neutral|positive,4,5,same_text_different_entity_valid,class_0160585df06e5c7f|class_1e38a0693d4fb57c|class_5510cb3d3c51e2dd|class_b229365a1f4b4e61,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_5ffff0b7c414bdff,1020|1457|162|417|594|996,6,negative|neutral|positive,6,6,same_text_different_entity_valid,class_158cdcf5b20d82d0|class_293ebe44ea314efd|class_506c1e13585e8551|class_63987dfc7586896a|class_abbf339270b99c7b|class_f9f72738a22fc733,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_2705a9e6fddf629b,1097|163|1715|647|886,4,neutral|positive,5,5,same_text_different_entity_valid,class_14fbed0347fd5698|class_22e7c327fdda0e3d|class_9a9e5949327a1d81|class_9ef15947135d160b|class_ac2f60d43da0b8f4,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_f42742d614e8bc58,164|349|358,3,neutral|positive,3,3,same_text_different_entity_valid,class_5f5829f05eb52514|class_99837b6e7463b743|class_b88e6206cc5274dc,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_0d23945c98bfc088,1069|168|402|895|903,4,neutral|positive,4,5,same_text_different_entity_valid,class_1eb77510ff7c5744|class_6a3150cb6822ff9d|class_8604c95f4617594e|class_983ad6ef1e1577c1,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_9318de95869b3b49,1332|169|224|382|822,4,negative|neutral|positive,5,5,same_text_different_entity_valid,class_171a04fdc4cb3a3e|class_5cddacca43915772|class_9f269823eda9e07d|class_b476d35a9d48fc94|class_f310f2c827320f9a,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_ef4add04faa2c55d,1195|1254|1367|170|250|311|526|749|943,6,negative|neutral|positive,9,9,same_text_different_entity_valid,class_0eb70a839d17e931|class_319b4cd9f073ebc6|class_35200a6ba188036b|class_506deb2625f1ea09|class_73448e0bdd8edaed|class_7c22e5eb597b6239|class_a6e3b79f8d0c9dc4|class_b8635fbfc7a8343a|class_d28edfd0e6b42b1a,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_85247858398f8d13,1276|180|343|759|815|817,4,neutral|positive,6,6,same_text_different_entity_valid,class_0b0fbbfffc2da784|class_394e9e4e1ec96c1b|class_5a80c9537c011fc4|class_6dca9a8ee633f777|class_8f4be199ef63f3a2|class_e918e523f42c7681,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_e84dcadda9275d17,1213|182|673,3,neutral|positive,3,3,same_text_different_entity_valid,class_02273a581d18f2d5|class_6f3e30b2414fc42c|class_8b5cdb0bb6886dc7,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_58311555e5ebc18c,1272|1705|183|388|473,5,neutral|positive,5,5,same_text_different_entity_valid,class_0c2cf5c5b5e97d1c|class_9991fd7578fa6b38|class_bf4225ddccf64601|class_d938574ce66138f1|class_ecbfeb1bd47e16c6,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_bcb77b854988fb05,1649|1825|186|623|769,4,negative|neutral|positive,5,5,same_text_different_entity_valid,class_4d57840b98049770|class_5eb20adff9edf8a2|class_9f7395d785b90727|class_b249230357b154d3|class_b56cf9c42f1b4815,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_b125ab6e569caf8d,1572|188|994,3,negative|neutral|positive,3,3,same_text_different_entity_valid,class_85999de3bb203147|class_8955c8c4d216d793|class_98024f67c10c80e5,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_4c88d5d3c4cbf251,1434|189|294|510|833,4,neutral|positive,5,5,same_text_different_entity_valid,class_0973dd81dcfec220|class_13cdf0a3e761c6a0|class_524c4e62ded58ed9|class_74a74337a0228e7f|class_ee457eb377ad3bb8,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_60fc140ce29a7dd8,190|662|843,2,neutral|positive,3,3,same_text_different_entity_valid,class_14fb1066739484f2|class_a18c948b5d552a02|class_d818b0496c04e6de,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_03f67c2d0255fe64,1275|191|573,3,neutral|positive,3,3,same_text_different_entity_valid,class_4bfbf626288698d2|class_7d774a02340b6c70|class_db0b23067d0dc6a7,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_efb757ee26ae4b2b,1489|1619|193|539|873,5,neutral|positive,5,5,same_text_different_entity_valid,class_32838438856edede|class_6abced73c0ab4376|class_6f54008b363e8b69|class_afa451c5addc52d4|class_f8f4a7522c284ff9,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
