article_id_left,article_id_right,title_similarity,text_similarity,token_overlap,combined_score,threshold,decision,evidence
1204,397,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1845,397,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
397,938,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
397,484,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1204,1236,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1236,1845,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1236,938,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1236,484,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1204,1845,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1204,938,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1204,484,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1845,938,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1845,484,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
484,938,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1206,247,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1206,1896,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1206,145,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1206,1790,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1206,1861,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1896,247,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
145,247,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1790,247,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1861,247,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
145,1896,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1790,1896,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1861,1896,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
145,1790,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
145,1861,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1790,1861,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1842,931,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
411,931,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
653,931,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1842,411,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1842,653,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
411,653,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
144,1586,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1586,724,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
144,724,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1673,866,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1371,866,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1560,866,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1886,866,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1371,1673,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1560,1673,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1673,1886,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1371,1560,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1371,1886,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1560,1886,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1094,1210,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1094,658,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1094,327,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1094,89,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1084,1094,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1094,1178,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1094,706,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1210,658,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1210,327,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1210,89,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1084,1210,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1178,1210,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1210,706,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
327,658,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
658,89,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1084,658,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1178,658,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
658,706,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
327,89,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1084,327,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1178,327,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
327,706,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1084,89,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1178,89,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
706,89,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1084,1178,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1084,706,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1178,706,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
270,577,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1123,270,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1144,270,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
135,270,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
240,270,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1519,270,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1123,577,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1144,577,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
135,577,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
240,577,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1519,577,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1123,1144,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1123,135,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1123,240,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1123,1519,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1144,135,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1144,240,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1144,1519,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
135,240,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
135,1519,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1519,240,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1618,677,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1089,677,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
677,860,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1089,1618,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1618,860,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1089,860,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1131,823,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1131,290,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1131,898,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1131,646,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1131,1629,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1009,1131,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1073,1131,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
290,823,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
823,898,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
646,823,1.0,1.0,1.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1629,823,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1009,823,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1073,823,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
290,898,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
290,646,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1629,290,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1009,290,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1073,290,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
646,898,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1629,898,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1009,898,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1073,898,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1629,646,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1009,646,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1073,646,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1009,1629,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1073,1629,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1009,1073,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1187,22,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1187,522,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1187,1694,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
22,522,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1694,22,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1694,522,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1080,549,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
500,549,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1506,549,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1593,549,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1080,500,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1080,1506,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1080,1593,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1506,500,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1593,500,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1506,1593,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
599,836,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1414,599,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
529,599,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
295,599,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1414,836,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
529,836,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
295,836,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1414,529,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1414,295,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
295,529,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1160,1390,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1390,463,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1390,166,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1160,463,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1160,166,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
166,463,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
251,465,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
465,494,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
251,494,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1393,344,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
402,903,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1069,402,1.0,1.0,1.0,1.0,0.92,merge,exact_hash_block_near_duplicate
168,402,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
402,895,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1069,903,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
168,903,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
895,903,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1069,168,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1069,895,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
168,895,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1493,1501,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1459,1493,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1196,1493,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1493,1870,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1129,1493,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1493,878,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1076,1493,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1459,1501,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1196,1501,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1501,1870,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1129,1501,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1501,878,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1076,1501,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1196,1459,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1459,1870,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1129,1459,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1459,878,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1076,1459,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1196,1870,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1129,1196,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1196,878,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1076,1196,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1129,1870,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1870,878,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1076,1870,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1129,878,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1076,1129,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1076,878,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
815,817,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1276,815,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
180,815,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
759,815,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
343,815,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1276,817,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
180,817,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
759,817,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
343,817,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1276,180,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1276,759,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1276,343,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
180,759,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
180,343,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
343,759,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
227,960,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1727,960,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1727,227,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1703,504,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1703,654,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1703,299,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
161,1703,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
504,654,1.0,1.0,1.0,1.0,0.92,merge,exact_hash_block_near_duplicate
299,504,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
161,504,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
299,654,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
161,654,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
161,299,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1538,475,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1538,884,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1538,801,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
475,884,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
475,801,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
801,884,1.0,1.0,1.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1475,755,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1475,830,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1121,1475,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
755,830,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1121,755,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1121,830,1.0,1.0,1.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1891,194,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1822,1891,1.0,1.0,1.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1408,1891,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1602,1891,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1891,987,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1891,209,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1420,1891,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1822,194,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1408,194,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1602,194,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
194,987,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
194,209,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1420,194,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1408,1822,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1602,1822,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1822,987,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1822,209,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1420,1822,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1408,1602,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1408,987,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1408,209,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1408,1420,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1602,987,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1602,209,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1420,1602,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
209,987,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1420,987,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1420,209,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
120,1467,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
120,478,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
120,456,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
120,174,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
120,564,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
120,718,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1467,478,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1467,456,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1467,174,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1467,564,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1467,718,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
456,478,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
174,478,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
478,564,1.0,1.0,1.0,1.0,0.92,merge,exact_hash_block_near_duplicate
