slice_id,slice_label,slice_group,date_start,date_end,slice_date_count,variant_id,variant_label,score_column,selection_mode,top_pct,active_ticker_count_median,active_ticker_count_min,active_ticker_count_max,active_ticker_count_mean,active_single_ticker_day_pct,total_signals,total_trades,median_trade_retention,avg_delta_win_rate,avg_delta_average_return,tickers_with_coverage_collapse,coverage_collapse_tickers,sample_adequacy_risk,sample_adequacy_reason
time_mid,Time Mid,time,2008-10-31,2017-07-31,2146,top_27_5pct_return_20d,Top 27.5% by return_20d,rs_score_return_20d,top_pct,0.275,13.0,0,14,10.7796,0.0,4098,2122,50.2809,-0.356,-0.0134,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_mid,Time Mid,time,2008-10-31,2017-07-31,2146,top_30pct_return_20d,Top 30% by return_20d,rs_score_return_20d,top_pct,0.3,14.0,0,15,11.5876,0.0,4347,2248,53.0173,-0.7232,-0.0258,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_late,Time Late,time,2017-08-01,2026-04-22,2145,top_22_5pct_return_20d,Top 22.5% by return_20d,rs_score_return_20d,top_pct,0.225,12.0,0,12,7.9865,0.0,3325,1703,50.7246,-2.1549,0.0891,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_late,Time Late,time,2017-08-01,2026-04-22,2145,top_25pct_return_20d,Top 25% by return_20d,rs_score_return_20d,top_pct,0.25,13.0,0,13,8.6517,0.0,3563,1831,55.7143,-1.8745,0.4955,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_late,Time Late,time,2017-08-01,2026-04-22,2145,top_27_5pct_return_20d,Top 27.5% by return_20d,rs_score_return_20d,top_pct,0.275,14.0,0,15,9.6159,0.0,3848,1963,60.0,-1.6524,-0.0978,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_late,Time Late,time,2017-08-01,2026-04-22,2145,top_30pct_return_20d,Top 30% by return_20d,rs_score_return_20d,top_pct,0.3,15.0,0,16,10.2816,0.0,4025,2037,62.5,-1.0418,-0.0544,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_low_strength,Regime Low Strength,regime_strength,2001-08-01,2026-03-26,1542,top_22_5pct_return_20d,Top 22.5% by return_20d,rs_score_return_20d,top_pct,0.225,12.0,3,12,10.941,0.0,2744,1485,55.5556,-0.8806,0.657,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_low_strength,Regime Low Strength,regime_strength,2001-08-01,2026-03-26,1542,top_25pct_return_20d,Top 25% by return_20d,rs_score_return_20d,top_pct,0.25,13.0,3,13,11.8554,0.0,2913,1571,59.5238,-0.1849,1.1343,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_low_strength,Regime Low Strength,regime_strength,2001-08-01,2026-03-26,1542,top_27_5pct_return_20d,Top 27.5% by return_20d,rs_score_return_20d,top_pct,0.275,14.0,4,15,13.1634,0.0,3127,1671,62.963,0.7624,0.1392,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_low_strength,Regime Low Strength,regime_strength,2001-08-01,2026-03-26,1542,top_30pct_return_20d,Top 30% by return_20d,rs_score_return_20d,top_pct,0.3,15.0,4,16,14.1226,0.0,3269,1742,65.3061,0.9143,0.1174,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_mid_strength,Regime Mid Strength,regime_strength,2001-07-24,2026-02-23,1542,top_22_5pct_return_20d,Top 22.5% by return_20d,rs_score_return_20d,top_pct,0.225,12.0,3,12,10.9189,0.0,3338,1790,47.9452,0.04,0.0825,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_mid_strength,Regime Mid Strength,regime_strength,2001-07-24,2026-02-23,1542,top_25pct_return_20d,Top 25% by return_20d,rs_score_return_20d,top_pct,0.25,13.0,3,13,11.8418,0.0,3587,1919,50.6024,-0.2565,0.088,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_mid_strength,Regime Mid Strength,regime_strength,2001-07-24,2026-02-23,1542,top_27_5pct_return_20d,Top 27.5% by return_20d,rs_score_return_20d,top_pct,0.275,14.0,4,15,12.9981,0.0,3860,2053,54.2857,-0.6475,0.1878,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_mid_strength,Regime Mid Strength,regime_strength,2001-07-24,2026-02-23,1542,top_30pct_return_20d,Top 30% by return_20d,rs_score_return_20d,top_pct,0.3,15.0,4,16,13.9702,0.0,4076,2157,56.6667,-0.752,0.1841,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_high_strength,Regime High Strength,regime_strength,2002-02-01,2026-01-27,1542,top_22_5pct_return_20d,Top 22.5% by return_20d,rs_score_return_20d,top_pct,0.225,9.0,3,12,8.5208,0.0,2828,1440,38.1818,0.4231,0.5252,1,['MIKA'],high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
regime_high_strength,Regime High Strength,regime_strength,2002-02-01,2026-01-27,1542,top_25pct_return_20d,Top 25% by return_20d,rs_score_return_20d,top_pct,0.25,9.0,4,13,9.1524,0.0,3037,1538,40.708,0.6929,0.7288,1,['MIKA'],high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
regime_high_strength,Regime High Strength,regime_strength,2002-02-01,2026-01-27,1542,top_27_5pct_return_20d,Top 27.5% by return_20d,rs_score_return_20d,top_pct,0.275,10.0,4,15,10.1226,0.0,3347,1681,44.9438,0.5231,1.0244,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_high_strength,Regime High Strength,regime_strength,2002-02-01,2026-01-27,1542,top_30pct_return_20d,Top 30% by return_20d,rs_score_return_20d,top_pct,0.3,11.0,4,16,11.0052,0.0,3625,1800,48.8095,0.3925,0.9792,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
